FECHA;COMP.;CODIGO;CUENTA;CONCEPTO; DEBE ; HABER ;REFERENCIA
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;4.059,73;;1596
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;5.121,40;1597
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;819,42;1597
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;5.940,82;;1597
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;4.966,20;1598
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;794,59;1598
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;5.760,79;;1598
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;4.112,49;1599
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;658;1599
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;4.770,49;;1599
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;2.095,06;1600
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;335,21;1600
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;2.430,27;;1600
15/1/2024;75;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;5.152,52;1601
15/1/2024;75;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;824,4;1601
15/1/2024;75;1111001;Caja Principal;RESUMEN DEL DIA;5.976,92;;1601
15/1/2024;75;4112004;Ingresos por Servicios Sector Privado Ptos. Fijos;PAUL EDUARDO MEDINA VILLALOBOS;;2.252,73;22701
15/1/2024;75;2121001;Débito Fiscal IVA;PAUL EDUARDO MEDINA VILLALOBOS;;360,44;22701
15/1/2024;75;1111001;Caja Principal;PAUL EDUARDO MEDINA VILLALOBOS;78,4;;22701
15/1/2024;75;2124007;IGTF Percibido de clientes;PAUL EDUARDO MEDINA VILLALOBOS;;78,4;22701
15/1/2024;75;1111001;Caja Principal;PAUL EDUARDO MEDINA VILLALOBOS;2.613,17;;22701
15/1/2024;75;4112004;Ingresos por Servicios Sector Privado Ptos. Fijos;PAUL EDUARDO MEDINA VILLALOBOS;;1.501,82;22702
15/1/2024;75;2121001;Débito Fiscal IVA;PAUL EDUARDO MEDINA VILLALOBOS;;240,29;22702
15/1/2024;75;1111001;Caja Principal;PAUL EDUARDO MEDINA VILLALOBOS;52,26;;22702
15/1/2024;75;2124007;IGTF Percibido de clientes;PAUL EDUARDO MEDINA VILLALOBOS;;52,26;22702
15/1/2024;75;1111001;Caja Principal;PAUL EDUARDO MEDINA VILLALOBOS;1.742,11;;22702
15/1/2024;75;4112004;Ingresos por Servicios Sector Privado Ptos. Fijos;PAUL EDUARDO MEDINA VILLALOBOS;;1.201,40;22703
15/1/2024;75;2121001;Débito Fiscal IVA;PAUL EDUARDO MEDINA VILLALOBOS;;192,22;22703
15/1/2024;75;1111001;Caja Principal;PAUL EDUARDO MEDINA VILLALOBOS;41,81;;22703
15/1/2024;75;2124007;IGTF Percibido de clientes;PAUL EDUARDO MEDINA VILLALOBOS;;41,81;22703
15/1/2024;75;1111001;Caja Principal;PAUL EDUARDO MEDINA VILLALOBOS;1.393,62;;22703
15/1/2024;75;4112004;Ingresos por Servicios Sector Privado Ptos. Fijos;CLUB GASTRONOMICO DEPICAR CCS, C.A.;;2.252,73;22704
15/1/2024;75;2121001;Débito Fiscal IVA;CLUB GASTRONOMICO DEPICAR CCS, C.A.;;360,44;22704
15/1/2024;75;1111001;Caja Principal;CLUB GASTRONOMICO DEPICAR CCS, C.A.;78,4;;22704
15/1/2024;75;2124007;IGTF Percibido de clientes;CLUB GASTRONOMICO DEPICAR CCS, C.A.;;78,4;22704
15/1/2024;75;1111001;Caja Principal;CLUB GASTRONOMICO DEPICAR CCS, C.A.;2.613,17;;22704
15/1/2024;75;2121001;Débito Fiscal IVA;DECLARACION DE IVA ;7.955,83;;IVA
15/1/2024;75;2121003;IVA por Pagar;DECLARACION DE IVA ;;7.955,83;IVA
15/1/2024;75;1142004;ISLR Otros;ISLR 1%;497,24;;ISLR
15/1/2024;75;2124004;Islr 1% por pagar;ISLR 1%;;497,24;ISLR
15/1/2024;75;5131001;Sueldos Empleados                                ;1ERA QUINCENA MES 01-2024;390;;NOM
15/1/2024;75;5131008;Prestaciones Sociales-Antiguedad               ;1ERA QUINCENA MES 01-2024;65;;NOM
15/1/2024;75;5131009;Vacaciones                                        ;1ERA QUINCENA MES 01-2024;32,5;;NOM
15/1/2024;75;5131010;Utilidades;1ERA QUINCENA MES 01-2024;32,5;;NOM
15/1/2024;75;5131013;Aporte I.N.C.E                                    ;1ERA QUINCENA MES 01-2024;7,8;;NOM
15/1/2024;75;2141003;Aportes INCES ;1ERA QUINCENA MES 01-2024;;7,8;NOM
15/1/2024;75;2161004;Vacaciones por pagar;1ERA QUINCENA MES 01-2024;;32,5;NOM
15/1/2024;75;2161005;Utilidades por pagar;1ERA QUINCENA MES 01-2024;;32,5;NOM
15/1/2024;75;2241001;Prestaciones Sociales por Pagar;1ERA QUINCENA MES 01-2024;;65;NOM
15/1/2024;75;2161001;Nomina por Pagar;1ERA QUINCENA MES 01-2024;;390;NOM
15/1/2024;75;6121046;IGTF Moneda Nacional       ;ITF;437,76;;BANESCO
15/1/2024;75;2114001;Cuentas por Pagar Directivos;RETIRO XXXXX;6.720,00;;BANESCO
15/1/2024;75;6121040;Gastos de Bancarios y Pasarelas de pago                    ;COM;278,04;;BANESCO
15/1/2024;75;6121019;Teléfono - Celulares                              ;CANTV;653,09;;BANESCO
15/1/2024;75;6121021;Consumo de Electricidad                               ;ELECTRICIDAD  XXXXX;1.176,47;;BANESCO
15/1/2024;75;1111001;Caja Principal;TRANSF A BCO VZLA IVA /15%;647;;BANESCO
15/1/2024;75;6121019;Teléfono - Celulares                              ;RECARGA TELEFONICA;125;;BANESCO
15/1/2024;75;2114010;Otras Cuentas por Pagar ;PAGO FOSPUCA;12.166,24;;BANESCO
15/1/2024;75;6121019;Teléfono - Celulares                              ;RECARGA;135;;BANESCO
15/1/2024;75;1112001;Banco Banesco;TRANSFERENCIAS REALIZADAS;;22.338,60;BANESCO
15/1/2024;75;1112001;Banco Banesco;TRANSFERENCIAS RECIBIDAS;22.566,00;;BANESCO
15/1/2024;75;1111001;Caja Principal;TRANSF DEDE VZLA;;3.000,00;BANESCO
15/1/2024;75;1111001;Caja Principal;TRANSF DESDE VZLA (PERSO);;5.600,00;BANESCO
15/1/2024;75;1111001;Caja Principal;TRANSF DESDE BANCAMIGA;;8.700,00;BANESCO
15/1/2024;75;1111001;Caja Principal;TICKET;;4.576,00;BANESCO
15/1/2024;75;1111001;Caja Principal;TRANS DESDE BANCAMIGA;;690;BANESCO
15/1/2024;75;6121046;IGTF Moneda Nacional       ;ITF;166,96;;BDV
15/1/2024;75;6121040;Gastos de Bancarios y Pasarelas de pago                    ;COM;327,16;;BDV
15/1/2024;75;5132002;Arrendamiento;2do  Y ULTIMO PAGO/CONCESION OCTUB 2023;6.649,00;;BDV
15/1/2024;75;1111001;Caja Principal;TRANSF A BANESCO;3.000,00;;BDV
15/1/2024;75;1111001;Caja Principal;TRANSF BANCAMIGA;4.000,00;;BDV
15/1/2024;75;2124004;Islr 1% por pagar;PLANILLA 99044;799,74;;BDV
15/1/2024;75;2141001;Aportes IVSS Y SPF ;PAGO IVSS;180,39;;BDV
15/1/2024;75;2141002;Aportes FAOV ;PAGO BANAVIH;35,1;;BDV
15/1/2024;75;2141003;Aportes INCES ;INCES;76,05;;BDV
15/1/2024;75;2114001;Cuentas por Pagar Directivos;RETIRO XXXXX;1.080,00;;BDV
15/1/2024;75;1112003;Banco de Venezuela;TRANSFERENCIAS REALIZADAS;;16.314,40;BDV
15/1/2024;75;1112003;Banco de Venezuela;TRANSFERENCIAS RECIBIDAS;18.967,00;;BDV
15/1/2024;75;1111001;Caja Principal;TRANSF DESDE BANCAMIGA;;18.467,00;BDV
15/1/2024;75;2114001;Cuentas por Pagar Directivos;TRANSF DE XXXXX ;;150;BDV
15/1/2024;75;1111001;Caja Principal;TRANSFER DESDE BANESCO;;350;BDV
15/1/2024;75;6121040;Gastos de Bancarios y Pasarelas de pago                    ;COM;1.857,16;;BANCAAMIGA
15/1/2024;75;6121046;IGTF Moneda Nacional       ;ITF;1.409,89;;BANCAAMIGA
15/1/2024;75;5131006;Bonificaciones Contractuales             ;TRANSF XXXXX;3.131,00;;BANCAAMIGA
15/1/2024;75;2114001;Cuentas por Pagar Directivos;RETIRO XXXXX;6.933,20;;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;TRANSF A BANESCO PARA PAGO CANTV;690;;BANCAAMIGA
15/1/2024;75;5132002;Arrendamiento;1ER PAGO CONCESION OCTUBRE;16.000,00;;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;TRANSF A BANESCO PAGO DE ELECTR. ;1.800,00;;BANCAAMIGA
15/1/2024;75;6121020;Internet;pago inter;1.980,28;;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;COMPRA DIV;1.524,00;;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;TRANSF A BCO VZLA;15.600,00;;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;TRANF BCO DE VENEZUELA;8.610,00;;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;TRANSF A BANESCO;6.900,00;;BANCAAMIGA
15/1/2024;75;6121025;Impuestos Municipales                       ;PAGO ALCADIA DE BARUTA;5.483,46;;BANCAAMIGA
15/1/2024;75;2124007;IGTF Percibido de clientes;PAGO PLANILLA 99021;77,96;;BANCAAMIGA
15/1/2024;75;1112002;Banco BancaAmiga;TRANSFERENCIAS REALIZADAS;;71.996,95;BANCAAMIGA
15/1/2024;75;1112002;Banco BancaAmiga;TRANSFERENCIAS RECIBIDAS;71.901,37;;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;LIQUIDACION DE PUNTO;;45.188,43;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;TRANSF DESDE BCO VZLA;;4.000,00;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;PAGO DIRECTO;;7.186,13;BANCAAMIGA
15/1/2024;75;1111001;Caja Principal;VENTA DIV;;15.434,00;BANCAAMIGA
15/1/2024;75;4141003;Ingresos Otros;INT;;92,81;BANCAAMIGA
15/1/2024;75;2114010;Otras Cuentas por Pagar ;Pago facturas varias excelsior, farmacia vizcaya;4.256,90;;pago
15/1/2024;75;2114001;Cuentas por Pagar Directivos;Pago facturas varias excelsior, farmacia vizcaya;;4.256,90;pago
15/1/2024;74;1241080;API Activos Fijos;REVERSO API FINANCIERO;;83.692,95;REVERSO API
15/1/2024;74;1242080;API Depreciación Acum. Activos Fijos;REVERSO API FINANCIERO;78.578,38;;REVERSO API
15/1/2024;74;3121080;API Actualización Capital Social;REVERSO API FINANCIERO;83.692,95;;REVERSO API
15/1/2024;74;3131080;API Actualización de resultados;REVERSO API FINANCIERO;;86.947,67;REVERSO API
15/1/2024;74;3141080;API Actualización Reservas de Capital;REVERSO API FINANCIERO;8.369,29;;REVERSO API
15/1/2024;74;1111001;Caja Principal;reclasificacion van 1111003;17.960,17;;recl
15/1/2024;74;1111003;Caja en Moneda Extranjera;reclasificacion van 1111001;;17.960,17;recl
31/1/2024;76;6121018;Aseo Urbano                      ;INVERSIONES FOSPUCA BARUTA, C.A. ;5.963,84;;1000247356
31/1/2024;76;1141001;Crédito Fiscal IVA Compras;INVERSIONES FOSPUCA BARUTA, C.A. ;954,21;;1000247356
31/1/2024;76;2124009;IVA Retenido a Proveedores;INVERSIONES FOSPUCA BARUTA, C.A. ;;715,66;2,02E+13
31/1/2024;76;2114010;Otras Cuentas por Pagar ;INVERSIONES FOSPUCA BARUTA, C.A. ;;6.202,39;1000247356
31/1/2024;76;6121018;Aseo Urbano                      ;INVERSIONES FOSPUCA BARUTA, C.A. ;5.963,84;;1000247371
31/1/2024;76;1141001;Crédito Fiscal IVA Compras;INVERSIONES FOSPUCA BARUTA, C.A. ;954,21;;1000247371
31/1/2024;76;2124009;IVA Retenido a Proveedores;INVERSIONES FOSPUCA BARUTA, C.A. ;;715,66;2,02E+13
31/1/2024;76;2114010;Otras Cuentas por Pagar ;INVERSIONES FOSPUCA BARUTA, C.A. ;;6.202,39;1000247371
31/1/2024;76;6121016;Papeleria;BAZAR Y LIBRERÍA ARAIRA JF, C.A.;1.285,11;;38856
31/1/2024;76;2114010;Otras Cuentas por Pagar ;BAZAR Y LIBRERÍA ARAIRA JF, C.A.;;1.285,11;38856
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;PAULAS BAKERY, C.A. ;307,24;;38545
31/1/2024;76;2114010;Otras Cuentas por Pagar ;PAULAS BAKERY, C.A. ;;307,24;38545
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;AUTOMERCADOS PLAZA'S, C.A. ;288,85;;46780
31/1/2024;76;2114010;Otras Cuentas por Pagar ;AUTOMERCADOS PLAZA'S, C.A. ;;288,85;46780
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;1.117,89;;45921
31/1/2024;76;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;1.117,89;45921
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;160,61;;45749
31/1/2024;76;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;160,61;45749
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;710,14;;36893
31/1/2024;76;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;710,14;36893
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;FARMATODO, C.A. ;364,81;;14003
31/1/2024;76;2114010;Otras Cuentas por Pagar ;FARMATODO, C.A. ;;364,81;14003
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;FARMATODO, C.A. ;57,5;;77158
31/1/2024;76;2114010;Otras Cuentas por Pagar ;FARMATODO, C.A. ;;57,5;77158
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;205,22;;37464
31/1/2024;76;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;205,22;37464
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;148,45;;58450
31/1/2024;76;2114010;Otras Cuentas por Pagar ;EXCELSIOR GAMA SUPERMERCADOS, C.A. ;;148,45;58450
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;FARMATODO, C.A. ;1.201,41;;65666
31/1/2024;76;2114010;Otras Cuentas por Pagar ;FARMATODO, C.A. ;;1.201,41;65666
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;PANADERIA PASTELERIA SAMI PAN I.G., C.A. ;80,86;;DnF0072
31/1/2024;76;2114010;Otras Cuentas por Pagar ;PANADERIA PASTELERIA SAMI PAN I.G., C.A. ;;80,86;DnF0072
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;PANADERIA PASTELERIA SAMI PAN I.G., C.A. ;83,78;;111907
31/1/2024;76;2114010;Otras Cuentas por Pagar ;PANADERIA PASTELERIA SAMI PAN I.G., C.A. ;;83,78;111907
31/1/2024;76;6121023;Comidas, Viajes y Traslados                       ;PANADERIA PASTELERIA SAMI PAN I.G., C.A. ;80,07;;DnF0073
31/1/2024;76;2114010;Otras Cuentas por Pagar ;PANADERIA PASTELERIA SAMI PAN I.G., C.A. ;;80,07;DnF0073
31/1/2024;76;6121044;Gastos Eventuales;CALORE RANCING, C.A. ;7.200,00;;DnF0074
31/1/2024;76;2114010;Otras Cuentas por Pagar ;CALORE RANCING, C.A. ;;7.200,00;DnF0074
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;5.974,90;1602
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;955,98;1602
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;6.930,88;;1602
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;6.849,93;1603
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;1.095,99;1603
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;7.945,92;;1603
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;6.440,33;1604
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;1.030,45;1604
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;7.470,78;;1604
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;6.673,36;1605
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;1.067,74;1605
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;7.741,10;;1605
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;4.578,00;1606
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;732,48;1606
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;5.310,48;;1606
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;1.396,66;1607
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;223,47;1607
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;1.620,13;;1607
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;5.198,98;1608
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;831,84;1608
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;6.030,82;;1608
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;5.431,81;1609
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;869,09;1609
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;6.300,90;;1609
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;4.785,25;1610
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;765,64;1610
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;5.550,89;;1610
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;6.085,40;1611
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;973,66;1611
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;7.059,06;;1611
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;8.225,12;1612
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;1.316,02;1612
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;9.541,14;;1612
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;3.948,84;1613
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;631,81;1613
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;4.580,65;;1613
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;1.474,23;1614
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;235,88;1614
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;1.710,11;;1614
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;4.733,61;1615
31/1/2024;76;2121001;Débito Fiscal IVA;RESUMEN DEL DIA;;757,38;1615
31/1/2024;76;1111001;Caja Principal;RESUMEN DEL DIA;5.490,99;;1615
31/1/2024;76;4112003;Ingresos por Servicios Sector Privado Ptos. Variables;RESUMEN DEL DIA;;4.423,26;1616
